FID_,band1_ndvi,band2_gndvi,band3_evi,band4_savi,tons_area
191,0.878936768,0.791227758,0.63656038,0.593583405,9.33
192,0.811174572,0.713440478,0.549637914,0.526484728,9.67
193,0.859948039,0.775721967,0.601125896,0.565147579,0
194,0.833058298,0.743648708,0.589227736,0.551835001,0
195,0.813069105,0.723003149,0.581247509,0.544763446,8.27
196,0.793796241,0.696491301,0.534285486,0.510228932,7.51
197,0.860086381,0.78695488,0.610457599,0.572388172,0
198,0.827754438,0.739398122,0.57359612,0.547298014,5.24
199,0.823130906,0.738915145,0.609117091,0.581469715,8.67
200,0.866999805,0.782668829,0.726018667,0.658263981,17.02
201,0.815791428,0.723642766,0.583941281,0.548070014,0
202,0.877466083,0.810644448,0.754055142,0.665785849,12.24
203,0.858458102,0.773572206,0.677455127,0.622017026,8.38
204,0.855022669,0.768199384,0.692074418,0.61841464,17.98
205,0.873046756,0.793231905,0.655484557,0.600788295,11.59
206,0.875434458,0.78564465,0.731068373,0.662968278,9.18
207,0.834780753,0.743614316,0.625437915,0.58631444,7.54
208,0.873032868,0.804858744,0.647643626,0.598988235,0
209,0.878337681,0.792172074,0.684277236,0.625022352,6.6
210,0.802652001,0.707140446,0.54846406,0.529753208,0
211,0.793149412,0.709447861,0.560974896,0.52991724,8.96
212,0.81354022,0.736215115,0.613359213,0.574168324,0
213,0.814899266,0.733827233,0.551998556,0.518296123,12.53
214,0.859738648,0.776864886,0.674484134,0.625043154,12.07
215,0.83577764,0.73613745,0.604585052,0.567130327,14.37
216,0.862300754,0.760224879,0.667270005,0.613728464,13.58
217,0.835981429,0.738584757,0.628187835,0.585803509,7.78
218,0.810705066,0.737627864,0.575082064,0.539526224,8.41
219,0.854091406,0.756487191,0.627809048,0.591664255,8.75
220,0.814782262,0.739047289,0.592527628,0.554906547,0
221,0.793134868,0.713355184,0.55212152,0.533370912,8.84
222,0.838661134,0.739875495,0.625229597,0.585267127,10.59
223,0.899704039,0.788638234,0.758739173,0.694027901,9.04
224,0.779622018,0.691220284,0.519285142,0.506547689,6.49
225,0.846355915,0.744506836,0.650171578,0.599741459,10.29
226,0.823805332,0.7397632,0.632241905,0.583767295,0
227,0.840739548,0.737974405,0.627853215,0.581811547,11.9
228,0.795140028,0.717392921,0.542047024,0.495647699,0
229,0.861080468,0.76231581,0.682269692,0.626960576,8.24
230,0.851871312,0.762400806,0.695979834,0.635240853,11.39
231,0.848543406,0.750591278,0.674467146,0.630957484,5.72
232,0.850083411,0.74616611,0.656416595,0.607955873,15.72
233,0.846529186,0.740762651,0.64506197,0.595923662,9.22
234,0.824265897,0.726475894,0.629486859,0.587894797,10.01
235,0.869703233,0.769295096,0.702500999,0.637914062,11.39
236,0.797176659,0.704417944,0.613499999,0.575060368,10.98
237,0.853414774,0.75187099,0.661789954,0.613206029,10.34
238,0.824398994,0.726688445,0.605279088,0.571990371,0
239,0.852629006,0.751218975,0.670818508,0.620434225,5.38
240,0.842407882,0.741887271,0.648718238,0.599310637,8.38
241,0.857933521,0.751175404,0.695194006,0.634093225,12.88
242,0.853394806,0.750296056,0.679170787,0.620324314,11.48
243,0.75447166,0.684310913,0.519709527,0.501213491,8.62
244,0.84390986,0.747153938,0.723144591,0.643633604,9.21
245,0.854158998,0.761409402,0.685097933,0.624634206,9.17
246,0.830934823,0.74212116,0.661144972,0.604902327,9.69
247,0.812052071,0.701701045,0.586463511,0.552274287,13.23
248,0.864621699,0.771893978,0.733543515,0.661771297,7.2
249,0.858540475,0.753627598,0.690561116,0.630690694,12.93
250,0.842578948,0.743685901,0.652635753,0.605042577,8.33
251,0.841257155,0.730961323,0.639448762,0.592970192,9.74
252,0.831574202,0.745940149,0.6448704,0.589222252,0
253,0.801116168,0.702777386,0.565166056,0.538541734,6.29
254,0.841829777,0.738518775,0.652660906,0.604112923,8.02
255,0.84786123,0.757145762,0.645521879,0.596618116,13.72
256,0.831701338,0.738955736,0.629306614,0.588310897,6.36
257,0.841805279,0.761092842,0.63720715,0.590937078,5.66
258,0.842089593,0.740448058,0.637481511,0.591169059,0
259,0.795755506,0.720138907,0.577640831,0.547067583,5.97
260,0.849922776,0.750457048,0.671026528,0.610589147,8.93
261,0.781315088,0.695479751,0.538499117,0.518215597,6.72
262,0.860272467,0.761785567,0.675413609,0.622059405,9.34
263,0.845707119,0.743405402,0.653075695,0.604107499,7.69
264,0.870155632,0.772516251,0.702198803,0.641726434,6.99
265,0.838910341,0.730522752,0.642321885,0.593023062,9.29
266,0.843085587,0.748337626,0.646979988,0.601585507,8.39
267,0.856031418,0.779270053,0.704030812,0.639512539,7.82
268,0.796139181,0.725298762,0.585768282,0.558331788,0
269,0.831646264,0.71982193,0.618396878,0.57961452,12.41
270,0.845009387,0.740445793,0.637616217,0.591441333,8.56
271,0.8605721,0.770876408,0.728629768,0.62809968,0
272,0.843630254,0.749167442,0.632864535,0.589795947,0
273,0.860938668,0.781937003,0.639095247,0.596531034,0
274,0.828328907,0.72910893,0.653761446,0.599327564,5.59
