FID_,band1_ndvi,band2_gndvi,band3_evi,band4_savi,tons_area
1627,0.805002451,0.699112117,0.574540675,0.542082906,6.4
3636,0.789821565,0.705277622,0.564669669,0.53411907,6.4
3715,0.787230611,0.701433659,0.567902744,0.539729476,6.4
323,0.958989441,1.080361485,0.628632367,0.71533978,6.41
389,0.716986895,0.672073424,0.486144394,0.477017581,6.41
3467,0.677557111,0.639176846,0.460581124,0.446915418,6.41
3046,0.831237674,0.742085218,0.608299315,0.57298696,6.42
545,0.816972852,0.7273103,0.593707144,0.559146404,6.43
3455,0.817108929,0.758520603,0.60748589,0.568992555,6.43
3461,0.815351069,0.718841255,0.614568233,0.572909355,6.43
4,0.829327524,0.744270742,0.703838527,0.622736633,6.44
1264,0.833417356,0.754102886,0.613334239,0.571883023,6.44
2328,0.887600899,0.802042484,0.781090856,0.671340883,6.44
2802,0.765818059,0.693786025,0.538367689,0.514539003,6.44
2919,0.79110539,0.699009299,0.555733562,0.521784902,6.44
314,0.828776062,0.755379379,0.597188175,0.556590855,6.45
1328,0.82041347,0.725064337,0.600103259,0.557878256,6.45
3049,0.856674194,0.775891185,0.640810311,0.591673732,6.45
439,0.819046438,0.72277236,0.607234418,0.568812728,6.46
819,0.863578796,0.773298144,0.68573153,0.626197278,6.46
3059,0.791386485,0.708422244,0.565607429,0.538063586,6.46
47,0.867279172,0.781710804,0.598676503,0.551368833,6.47
1460,0.832792103,0.767763615,0.572780848,0.55265373,6.48
224,0.779622018,0.691220284,0.519285142,0.506547689,6.49
1219,0.812727869,0.743479609,0.572045147,0.539485276,6.49
1828,0.832285047,0.749693334,0.633698463,0.588924646,6.49
1486,0.822697699,0.727591872,0.624712646,0.58197391,6.5
2997,0.824904621,0.730882049,0.629669011,0.579493523,6.5
3797,0.849034011,0.749425292,0.6350739,0.585881054,6.5
95,0.778154016,0.691264331,0.539681613,0.512428701,6.51
852,0.859691143,0.770160973,0.635897219,0.594864845,6.51
1302,0.830438852,0.735350847,0.613828242,0.573452711,6.51
1817,0.832938015,0.739710867,0.621202409,0.574676931,6.51
2694,0.823885202,0.741903126,0.624159098,0.573932648,6.51
2999,0.822154284,0.739474416,0.638489187,0.586052239,6.51
3347,0.800757349,0.731324673,0.523629189,0.498320699,6.51
1238,0.793907464,0.738637745,0.502863109,0.489536375,6.54
6,0.828876138,0.728716314,0.6692518,0.609295547,6.55
1966,0.841004312,0.745471954,0.618807197,0.580036521,6.55
710,0.808900118,0.712703168,0.622002721,0.570406616,6.56
1069,0.796919823,0.712701201,0.557408512,0.533970177,6.56
2746,0.836818337,0.755160749,0.612006783,0.569572031,6.56
843,0.816509664,0.725037396,0.570477128,0.548125207,6.57
2860,0.776293099,0.703686118,0.530288756,0.514784455,6.57
308,0.833559334,0.737567186,0.59882766,0.564219832,6.59
392,0.827691376,0.75852257,0.613943934,0.57544601,6.59
579,0.820264697,0.723396599,0.568720579,0.540296733,6.59
1250,0.814172029,0.741625786,0.605640948,0.568704069,6.59
1500,0.792544007,0.716785073,0.535127163,0.518990695,6.59
1732,0.819226801,0.727900326,0.601368785,0.559373796,6.59
70,0.852966011,0.76028347,0.688686311,0.627442122,6.6
209,0.878337681,0.792172074,0.684277236,0.625022352,6.6
1492,0.836688757,0.737635255,0.638430536,0.590505719,6.6
3759,0.727221489,0.664550304,0.484095216,0.471045047,6.6
753,0.821507514,0.731907904,0.582887888,0.550506651,6.61
866,0.82067889,0.726257801,0.635006309,0.586656511,6.61
1758,0.849155486,0.768148601,0.694617689,0.630761564,6.61
3652,0.782172084,0.697458148,0.549944699,0.524962604,6.61
1140,0.765111327,0.691635907,0.519912839,0.506234527,6.62
2225,0.83106631,0.740948737,0.599353552,0.556954145,6.62
2397,0.79899019,0.738368571,0.565981627,0.534321785,6.62
952,0.826241612,0.741205573,0.578819871,0.55024004,6.64
1370,0.828028023,0.725847185,0.61040473,0.57286483,6.64
2781,0.820082605,0.757145345,0.542957067,0.521892667,6.64
3483,0.81337744,0.739317656,0.562832057,0.529749274,6.64
580,0.865203857,0.782014787,0.692784309,0.636339366,6.65
835,0.781020582,0.717482328,0.53301394,0.512361586,6.65
898,0.820994556,0.742556989,0.582940042,0.552064896,6.65
1715,0.848123074,0.754343331,0.6432603,0.595837593,6.65
2110,0.836778283,0.741147339,0.626416862,0.570951462,6.65
3342,0.80658263,0.722916603,0.545591891,0.523761272,6.65
676,0.792857349,0.702544868,0.536163747,0.513372898,6.66
3582,0.808496833,0.7153458,0.579117417,0.55117768,6.66
646,0.822634399,0.763737798,0.584609628,0.556567907,6.67
1963,0.816581964,0.736647189,0.596089721,0.562037289,6.67
1882,0.764615238,0.700548768,0.508304298,0.491643697,6.68
2718,0.839840531,0.7463938,0.618504822,0.567677677,6.68
3587,0.830754042,0.741876423,0.595729649,0.562538981,6.68
67,0.835427284,0.735482335,0.654854715,0.603594422,6.69
1338,0.857069373,0.738179386,0.699576199,0.640045524,6.69
2710,0.847667992,0.74693346,0.641507983,0.592200994,6.69
918,0.781539798,0.696347892,0.542560101,0.52202183,6.7
1880,0.868189335,0.792047262,0.717484236,0.646365285,6.7
1408,0.87272805,0.773155868,0.741074502,0.66464293,6.71
3760,0.841043532,0.760814071,0.645438671,0.588117242,6.71
261,0.781315088,0.695479751,0.538499117,0.518215597,6.72
3573,0.796994567,0.715093672,0.617005289,0.5515939,6.72
970,0.795892239,0.716746628,0.564992249,0.540734291,6.73
1713,0.838934779,0.74016875,0.617962003,0.578440249,6.73
3283,0.862671196,0.77405715,0.610530376,0.568742692,6.73
3588,0.857460439,0.753596842,0.602629364,0.575486004,6.73
31,0.795513034,0.706288278,0.530660868,0.509729505,6.74
1204,0.788000703,0.70388943,0.545564532,0.521805406,6.74
1538,0.824570775,0.731012285,0.615262866,0.575432837,6.74
1605,0.838666737,0.741817713,0.695666492,0.628246069,6.74
2990,0.804264188,0.709560037,0.576841414,0.542547226,6.74
3586,0.889943123,0.758468688,0.651433766,0.589897096,6.74
664,0.817126989,0.715768397,0.583749652,0.547324538,6.75
1031,0.880596519,0.765841663,0.681537211,0.623889625,6.76
2890,0.855261981,0.754835129,0.683709085,0.624930978,6.76
3486,0.833538234,0.739672899,0.592827141,0.558114588,6.76
1271,0.837581336,0.752805352,0.629022419,0.578784525,6.77
2421,0.872202873,0.775186658,0.599665582,0.568679273,6.77
2874,0.853166759,0.768344939,0.645656407,0.599413276,6.77
3492,0.746486306,0.663067341,0.506020546,0.492830455,6.77
1961,0.861856699,0.768140197,0.667273223,0.61521405,6.78
1669,0.782416523,0.712858498,0.564155281,0.529973209,6.79
2921,0.824833572,0.737377763,0.602239907,0.553546846,6.79
3349,0.828556895,0.738030612,0.606629014,0.569511116,6.79
912,0.798771858,0.69911927,0.545683444,0.515045881,6.8
1298,0.791899145,0.708477318,0.564707339,0.531676412,6.8
2351,0.785661519,0.697883189,0.574454963,0.540933132,6.8
2434,0.823809087,0.728264511,0.604709804,0.570027351,6.8
1656,0.776550114,0.694738209,0.537697434,0.519673169,6.81
1659,0.823720813,0.728253782,0.612989604,0.57700336,6.81
3450,0.848094106,0.759829462,0.629242063,0.581247091,6.81
1532,0.804231286,0.727772057,0.647831619,0.598139882,6.82
1736,0.819794178,0.742018521,0.604188204,0.552785635,6.83
1788,0.835038245,0.734126985,0.620124042,0.579759777,6.83
2127,0.858438611,0.763509989,0.704784632,0.635557055,6.83
2279,0.808542252,0.742083848,0.607803643,0.571709871,6.83
3559,0.833723605,0.741313457,0.652540803,0.606977999,6.84
85,0.781046987,0.703297496,0.55342865,0.530165851,6.85
426,0.865422904,0.773532391,0.641271532,0.597008824,6.85
619,0.84302938,0.744088829,0.610062957,0.575676203,6.85
